Target Item,Similar Items,Score Similitud
Tênis Olympikus Esporte Valente - Masculino Kids,Tênis Infantil Olympikus Valente Kids Masculino ,0.8333333333333334
Tênis Olympikus Esporte Valente - Masculino Kids,Tênis Esporte Masculino,0.7071067811865475
Tênis Olympikus Esporte Valente - Masculino Kids,Tênis Kids Masculino Esportivo Olympikus V-zero  ,0.6172133998483678
Tênis Olympikus Esporte Valente - Masculino Kids,Tenis Infantil Masculino Olympikus Spider Kids Esportivo,0.6172133998483678
Tênis Olympikus Esporte Valente - Masculino Kids,Tênis Esporte Olympikus Veloz,0.6123724356957945
Bicicleta Barra Forte Samy C/ 6 Marchas Cubo C/ Rolamento,Bicicleta Barra Forte Aro 24 ,0.5163977794943223
Bicicleta Barra Forte Samy C/ 6 Marchas Cubo C/ Rolamento,Bicicleta Samy Cross Aro 20 C/ Aros Aero,0.5103103630798287
Bicicleta Barra Forte Samy C/ 6 Marchas Cubo C/ Rolamento,Bicicleta Sport Aro 29 C/ Susp. 21v C/shim Tam 19 Pto/cinza,0.5039526306789696
Bicicleta Barra Forte Samy C/ 6 Marchas Cubo C/ Rolamento,Bicicleta Sport Aro 29 C/ Susp. 21 V C/shim Tam 17 Pto/verde,0.49236596391733095
Bicicleta Barra Forte Samy C/ 6 Marchas Cubo C/ Rolamento,Bicicleta 29 Elleven Rocker 24v Hidráulico C/ Trava,0.4564354645876384
Tênis Usthemp Slip-on Temático - Labrador 2,Tênis Usthemp Slip-on Temático - Lunna Labrador 2,0.9354143466934852
Tênis Usthemp Slip-on Temático - Labrador 2,Tênis Usthemp Slip-on Temático - Pug 6,0.8571428571428573
Tênis Usthemp Slip-on Temático - Labrador 2,Tênis Usthemp Slip-on Temático - Violões 3,0.8571428571428573
Tênis Usthemp Slip-on Temático - Labrador 2,Tênis Usthemp Slip-on Temático - Fusca 4,0.8571428571428573
Tênis Usthemp Slip-on Temático - Labrador 2,Tênis Usthemp Slip-on Temático - Unigothic 2,0.8571428571428573
Tênis Casual Feminino Moleca Tecido Tie Dye,Tênis Tie Dye Feminino Casual ,0.8451542547285165
Tênis Casual Feminino Moleca Tecido Tie Dye,Tênis Casual Feminino Moleca Tie Dye 5696203 Confortável,0.801783725737273
Tênis Casual Feminino Moleca Tecido Tie Dye,Tênis Casual Feminino Tie-dye Comfy,0.7715167498104596
Tênis Casual Feminino Moleca Tecido Tie Dye, Tenis Feminino Casual Plataforma Tie Dye ,0.7715167498104596
Tênis Casual Feminino Moleca Tecido Tie Dye,Tênis Feminino Colorido Tecido Tie Dye,0.7715167498104596
Tênis Star Baby Sapatinho Conforto + Brinde,Tênis Conforto ,0.5773502691896256
Tênis Star Baby Sapatinho Conforto + Brinde,Tenis Feminino Star Conforto Tie Dye ,0.5
Tênis Star Baby Sapatinho Conforto + Brinde,Tênis Infantil Ortopé Sport Baby Sapatinho Bebe Tênis Menina,0.4923659639173309
Tênis Star Baby Sapatinho Conforto + Brinde,Tenis Star Feet ,0.4714045207910317
Tênis Star Baby Sapatinho Conforto + Brinde,Tênis Masculino + Brinde,0.4714045207910317
